Date,Open_M,High_M,Low_M,Close_M,Adj_Close_M,Volume_M,Open_V,High_V,Low_V,Close_V,Adj_Close_V,Volume_V,Price_Change_M,Price_Change_V,Pct_Change_M,Pct_Change_V,Volatility_M,Volatility_V,MA7_Close_M,MA7_Close_V,MA30_Close_M,MA30_Close_V,Volume_MA7_M,Volume_MA7_V,Volume_Ratio_MV,Day_of_Week,Month,Year
2008-06-02,30.926001,32.0,30.257,32.0,29.529486,50620000,21.5525,21.737499,21.15,21.5175,19.202324,36856000,1.0739990000000006,-0.03500000000000014,3.472802707340017,-0.1623941538104635,1.7429999999999986,0.5874990000000011,,,,,,,1.373453440416757,Monday,6,2008
2008-06-03,31.386999,31.399,30.235001,30.74,28.366755,93913000,21.752501,21.987499,21.5075,21.889999,19.534735,48411600,-0.646999000000001,0.1374980000000008,-2.061359864318347,0.6321020281759822,1.1639990000000004,0.4799989999999994,,,,,,,1.9398863082401738,Tuesday,6,2008
2008-06-04,30.745001,30.959999,29.454,29.74,27.443956,66160000,21.77,22.025,21.32,21.370001,19.070698,40684400,-1.005001,-0.3999990000000011,-3.2688273452975336,-1.8373863114377635,1.5059989999999992,0.7049999999999983,,,,,,,1.6261761264759957,Wednesday,6,2008
2008-06-05,29.951,30.615999,29.544001,30.615999,28.252338,45959000,21.615,21.809999,21.397499,21.809999,19.463354,27059600,0.6649989999999981,0.1949990000000028,2.220289806684245,0.9021466574138461,1.0719979999999971,0.4125000000000014,,,,,,,1.6984360448787121,Thursday,6,2008
2008-06-06,30.228001,30.242001,29.481001,29.573,27.289856,29383000,21.475,21.497499,20.887501,20.9125,18.662413,41748000,-0.6550009999999986,-0.5625,-2.1668683946384633,-2.619324796274738,0.7609999999999992,0.6099980000000009,,,,,,,0.7038181469771007,Friday,6,2008
2008-06-09,29.709999,29.886,27.641001,29.139999,26.890287,55137000,21.0,21.237499,20.139999,20.535,18.325535,45240000,-0.5700000000000003,-0.46499999999999986,-1.9185460087023238,-2.214285714285714,2.244999,1.0975000000000001,,,,,,,1.2187665782493369,Monday,6,2008
2008-06-10,28.524,29.541,28.337,28.605,26.396585,26190000,20.075001,20.717501,19.9025,20.077499,17.917259,36048400,0.08099999999999952,0.002497999999999223,0.2839713925115675,0.012443336864587071,1.2040000000000006,0.8150009999999988,30.05914257142857,21.158928285714286,,,52480285.71428572,39435428.571428575,0.7265232298798282,Tuesday,6,2008
2008-06-11,28.743999,28.802,27.716,27.921,25.765392,23577000,20.25,20.25,19.4,19.434999,17.343885,56996400,-0.8229989999999994,-0.8150009999999988,-2.8632028549680903,-4.02469629629629,1.0859999999999985,0.8500000000000014,29.476428285714285,20.861428142857143,,,48617000.0,42312628.571428575,0.41365770469713875,Wednesday,6,2008
2008-06-12,28.219999,28.968,28.187,28.440001,26.244328,31296000,19.737499,20.192499,19.637501,19.889999,17.749931,44605600,0.22000199999999737,0.15249999999999986,0.779596058809206,0.772640951115437,0.7809999999999988,0.5549980000000012,29.147856999999995,20.57571385714286,,,39671714.28571428,41768914.28571428,0.7016159405993866,Thursday,6,2008
2008-06-13,28.620001,29.372999,28.620001,29.246,26.988104,21436000,20.065001,20.452499,20.0375,20.3825,18.189445,30689200,0.6259990000000002,0.31749900000000153,2.187278050758979,1.5823522759854411,0.7529980000000016,0.4149989999999981,29.077285571428572,20.434642285714286,,,33282571.42857143,40341028.571428575,0.6984867640733547,Friday,6,2008
